197109,100860
197119,100771
197129,100717
197139,100619
197149,100576
197159,100529
197169,100509
197179,100467
197189,100486
197199,100461
197209,100483
197219,100474
197229,100500
197239,100501
197249,100527
197259,100512
197269,100541
197279,100557
197289,100600
197299,100633
197309,100659
197321,100666
197331,100720
197341,100730
197351,100772
197361,100766
197371,100805
197381,100759
197391,100797
197401,100776
197411,100812
197421,100794
197431,100802
197441,100769
197451,100780
197461,100782
197471,100792
197481,100827
197491,100862
197501,100867
197511,100910
197521,100912
197531,100935
197541,100965
197551,100994
197561,100982
197571,101025
197581,101034
197591,101062
197601,101057
197611,101097
197621,101080
197631,101116
197641,101145
197651,101169
197661,101200
197671,101228
197681,101242
197691,101261
197701,101277
197711,101292
197721,101313
197731,101320
197741,101346
197751,101334
197761,101344
197771,101382
197781,101402
197791,101415
197801,101449
197811,101456
197821,101464
197831,101479
197841,101485
197851,101454
197861,101378
197871,101318
197881,101229
197891,101136
197901,101057
197911,100963
197921,100894
197931,100833
197941,100815
197951,100782
197961,100766
197971,100730
197981,100747
197991,100737
198001,100744
198011,100800
198021,100812
198031,100827
198041,100847
198053,100876
198063,100903
198073,100894
198083,100942
198093,100942
198103,100994
198113,100981
198123,100987
198133,101000
198143,101035
198153,101018
198163,101025
198173,101024
198183,101021
198193,101035
198203,101063
198213,101059
198223,101074
198233,101068
198243,101102
198253,101103
198263,101105
198273,101114
198283,101156
198293,101126
198303,101163
198313,101182
198323,101184
198333,101200
198343,101233
198353,101224
198363,101245
198373,101229
198383,101274
198393,101284
198403,101319
198413,101332
198423,101351
198433,101362
198443,101402
198453,101395
198463,101435
198473,101450
198483,101489
198493,101512
198503,101528
198513,101522
198523,101550
198533,101539
198543,101575
198553,101546
198563,101567
198573,101513
198583,101446
198593,101358
198603,101287
198613,101188
198623,101099
198633,101013
198643,100970
198653,100904
198663,100910
198673,100870
198683,100884
198693,100828
198703,100860
198713,100834
198723,100875
198733,100861
198743,100896
198753,100926
198763,100974
198773,100960
198783,100993
198795,101008
198805,101067
198815,101046
198825,101104
198835,101101
198845,101140
198855,101125
198865,101155
198875,101147
198885,101180
198895,101150
198905,101186
198915,101150
198925,101179
198935,101145
198945,101219
198955,101186
198965,101241
198975,101232
198985,101278
198995,101254
199005,101296
199015,101314
199025,101377
199035,101356
199045,101422
199055,101395
199065,101448
199075,101434
199085,101476
199095,101453
199105,101511
199115,101492
199125,101545
199135,101532
199145,101583
199155,101565
199165,101621
199175,101598
199185,101648
199195,101623
199205,101688
199215,101676
199225,101704
199235,101689
199245,101750
199255,101730
199265,101777
199275,101717
199285,101713
199295,101601
199305,101533
199315,101390
199325,101318
199335,101212
199345,101192
199355,101087
199365,101076
199375,101010
199385,101011
199395,100958
199405,100999
199415,100942
199425,101000
199435,100994
199445,101035
199455,100987
199465,101036
199475,101004
199485,101099
199495,101061
199505,101126
199515,101140
199527,101211
199537,101226
199547,101285
199557,101252
199567,101314
199577,101291
199587,101306
199597,101270
199607,101315
199617,101276
199627,101340
199637,101295
199647,101315
199657,101285
199667,101332
199677,101334
199687,101405
199697,101362
199707,101451
199717,101417
199727,101477
199737,101431
199747,101480
199757,101456
199767,101530
199777,101534
199787,101578
199797,101559
199807,101630
199817,101622
199827,101663
199837,101654
199847,101707
199857,101674
199867,101735
199877,101712
199887,101770
199897,101761
199907,101826
199917,101804
199927,101880
199937,101872
199947,101939
199957,101927
199967,102008
199977,102000
199987,102081
199997,102037
200007,102046
200017,101959
200027,101881
200037,101736
200047,101665
200057,101510
200067,101472
200077,101340
200087,101344
200097,101255
200107,101288
200117,101236
200127,101272
200137,101243
200147,101294
200157,101266
200167,101331
200177,101302
200187,101393
200197,101349
200207,101413
200217,101374
200227,101454
200237,101470
200247,101547
200257,101540
200267,101613
200279,101607
200289,101670
200299,101650
200309,101714
200319,101671
200329,101689
200339,101655
200349,101696
200359,101661
200369,101714
200379,101688
200389,101721
200399,101679
200409,101730
200419,101702
200429,101778
200439,101759
200449,101830
200459,101814
200469,101878
200479,101858
200489,101936
200499,101925
200509,102004
200519,101980
200529,102065
200539,102042
200549,102113
200559,102086
200569,102128
200579,102105
200589,102178
200599,102141
200609,102218
200619,102193
200629,102278
200639,102262
200649,102291
200659,102278
200669,102338
200679,102296
200689,102347
200699,102241
200709,102204
200719,102047
200729,102013
200739,101889
200749,101861
200759,101734
200769,101740
200779,101639
200789,101671
200799,101596
200809,101629
200819,101573
200829,101643
200839,101588
200849,101651
200859,101606
200869,101660
200879,101625
200889,101663
200899,101614
200909,101686
200919,101678
200929,101746
200939,101698
200949,101778
200959,101748
200969,101836
200979,101821
200989,101897
200999,101866
201011,101932
201021,101898
201031,101934
201041,101892
201051,101926
201061,101879
201071,101930
201081,101873
201091,101940
201101,101901
201111,101965
201121,101917
201131,101979
201141,101940
201151,102009
201161,102003
201171,102104
201181,102090
201191,102177
201201,102155
201211,102237
201221,102210
201231,102302
201241,102258
201251,102319
201261,102307
201271,102370
201281,102343
201291,102409
201301,102380
201311,102442
201321,102396
201331,102472
201341,102435
201351,102500
201361,102428
201371,102439
201381,102268
201391,102231
201401,102054
201411,102029
201421,101895
201431,101875
201441,101765
201451,101791
201461,101717
201471,101756
201481,101702
201491,101772
201501,101722
201511,101808
201521,101746
201531,101791
201541,101727
201551,101818
201561,101771
201571,101838
201581,101784
201591,101874
201601,101832
201611,101922
201621,101886
201631,101952
201641,101922
201651,101988
